"text,label"
"Alabama,LOCATION_STATE"
"Alaska,LOCATION_STATE"
"Arizona,LOCATION_STATE"
"Arkansas,LOCATION_STATE"
"California,LOCATION_STATE"
"Colorado,LOCATION_STATE"
"Connecticut,LOCATION_STATE"
"Delaware,LOCATION_STATE"
"Florida,LOCATION_STATE"
"Georgia,LOCATION_STATE"
"Hawaii,LOCATION_STATE"
"Idaho,LOCATION_STATE"
"Illinois,LOCATION_STATE"
"Indiana,LOCATION_STATE"
"Iowa,LOCATION_STATE"
"Kansas,LOCATION_STATE"
"Kentucky,LOCATION_STATE"
"Louisiana,LOCATION_STATE"
"Maine,LOCATION_STATE"
"Maryland,LOCATION_STATE"
"Massachusetts,LOCATION_STATE"
"Michigan,LOCATION_STATE"
"Minnesota,LOCATION_STATE"
"Mississippi,LOCATION_STATE"
"Missouri,LOCATION_STATE"
"Montana,LOCATION_STATE"
"Nebraska,LOCATION_STATE"
"Nevada,LOCATION_STATE"
"New Hampshire,LOCATION_STATE"
"New Jersey,LOCATION_STATE"
"New Mexico,LOCATION_STATE"
"New York,LOCATION_STATE"
"North Carolina,LOCATION_STATE"
"North Dakota,LOCATION_STATE"
"Ohio,LOCATION_STATE"
"Oklahoma,LOCATION_STATE"
"Oregon,LOCATION_STATE"
"Pennsylvania,LOCATION_STATE"
"Rhode Island,LOCATION_STATE"
"South Carolina,LOCATION_STATE"
"South Dakota,LOCATION_STATE"
"Tennessee,LOCATION_STATE"
"Texas,LOCATION_STATE"
"Utah,LOCATION_STATE"
"Vermont,LOCATION_STATE"
"Virginia,LOCATION_STATE"
"Washington,LOCATION_STATE"
"West Virginia,LOCATION_STATE"
"Wisconsin,LOCATION_STATE"
"Wyoming,LOCATION_STATE"
"""Haselden, Fran"",PERSON"
"""Hasette, Nanette"",PERSON"
"""Hastings, Cliff"",PERSON"
"""Hathaway, James"",PERSON"
"""Hathaway, Richard"",PERSON"
"""Hathcock, Andy"",PERSON"
"""Haynes, Barbara"",PERSON"
"""Hazlett, Allan Ashley"",PERSON"
"""Hecht, Nathan L."",PERSON"
"""Heiple, James"",PERSON"
"""Hellman, Juda Maria"",PERSON"
"""Henderson, William"",PERSON"
"""Hendon, Ewell Theron, Jr. (E.T.)"",PERSON"
"""Herbert, Thomas M."",PERSON"
"""Hilow, Henry"",PERSON"
"""Hinojosa, Gilberto"",PERSON"
"""Hobson, Donald Lewis"",PERSON"
"""Hoekstra, Joel"",PERSON"
"""Hoffer, Bruce A."",PERSON"
"""Holdridge, William"",PERSON"
"""Holliday, Linda L."",PERSON"
"""Holmgren, Janet"",PERSON"
"""Holton, David"",PERSON"
"""Hooper, Perry"",PERSON"
"""Hopper, Clifford"",PERSON"
"""Hornsby, Sonny"",PERSON"
"""Hossler, David J."",PERSON"
"""Houston, Sam"",PERSON"
"""Huddleston, Margaret"",PERSON"
"""Huether, Greg"",PERSON"
"""Hughes, Doug"",PERSON"
"""Hughes, Judy"",PERSON"
"""Hunstein, Carol W."",PERSON"
"""Hunt, Bill"",PERSON"
"""Hurlbert, Clyde"",PERSON"
"Pro-Indepent Supreme Court Justices (retain independent justices),PERSON"
"""Ingram, Kenneth"",PERSON"
"""Jackson, Niles"",PERSON"
"""Jacobs, Darleen Marie"",PERSON"
"""Jefferson, Wallace"",PERSON"
"""Jefferson, Wallacle"",PERSON"
"""Jennaro, William"",PERSON"
"""Jennings, William D., III (Bill)"",PERSON"
"""Jennings, Linda"",PERSON"
"""Johnson, Bernette"",PERSON"
"""Johnson, Ed"",PERSON"
"""Johnson, Tim"",PERSON"
"""Johnstone, Martin"",PERSON"
"""Jones, Lynda"",PERSON"
"""Jones, Stephanie Tubbs"",PERSON"
"""Jones, Woodie"",PERSON"
"""Jordan, Jim"",PERSON"
"""Jurtz, Walter"",PERSON"
"""Kanner, Richard"",PERSON"
"""Kapala, Fred"",PERSON"
"""Karem, Edmund (Pete)"",PERSON"
"""Karner, Cheryl"",PERSON"
"""Kavanagh, Thomas Giles"",PERSON"
"""Keith, John"",PERSON"
"""Kelley, Tim"",PERSON"
"""Kelly, Marilyn"",PERSON"
"""Kelsey, Carmen"",PERSON"
"""Kennedy, Mark Raymond"",PERSON"
"""Kepper, Marie"",PERSON"
"""Ketchum, Menis"",PERSON"
"""Kickliter, George Paul"",PERSON"
"""Kiefer, Nat Gerard"",PERSON"
"""Kilbride, Tom"",PERSON"
"""Kilcoyne, James F."",PERSON"
"""Kilgarlin, Bill"",PERSON"
"""Kilgarlin, William Wayne"",PERSON"
"""Kimball, Kitty"",PERSON"
"""King, Nick"",PERSON"
"""Kinsey, Pat"",PERSON"
"""Kitchens, Jim"",PERSON"
"""Klatt, William"",PERSON"
"""Klein, Arnie"",PERSON"
"""Knoll, Robert R."",PERSON"
"""Koernke, Thomas F."",PERSON"
"""Kosmala, Joseph R."",PERSON"
"""Krancer, Mike"",PERSON"
"""Kremers, Jeff"",PERSON"
"""Kriegshaber, Steven J. (Steve)"",PERSON"
"""Krier, Cyndi Taylor"",PERSON"
"""Krittikos, Stephan J."",PERSON"
"""Krupansky, Blanche"",PERSON"
"""Krupp, Dawn"",PERSON"
"""Kuehne, Bruce"",PERSON"
"""Kurtz, Walter"",PERSON"
"""Kyle, Sara"",PERSON"
"""LaBranche, Max"",PERSON"
"""LaDart, Ross"",PERSON"
"""Lambz, Jim"",PERSON"
"""Lampone, Leah M."",PERSON"
"""Landrieu, Maurice Edwin (Moon)"",PERSON"
"""Lane, Charlotte"",PERSON"
"""Lane, Tom"",PERSON"
"""Langston, Deborah Lewis"",PERSON"
"""Lanphier, David"",PERSON"
"""Lanzinger, Judith Ann"",PERSON"
"""Lashlee, John"",PERSON"
"""Lathrop, Trayton"",PERSON"
"""Lawther, Robert M."",PERSON"
"""Layng, John C."",PERSON"
"""Leach, Robert Edmund"",PERSON"
"""Leavitt, Myron"",PERSON"
"""Leen, Tom"",PERSON"
"""Leiber, Dennis"",PERSON"
"""Lenahan, Jude"",PERSON"
"""Levin, Charles Leonard"",PERSON"
"""Lewis, Benjamin"",PERSON"
"""Lindley, George Womack"",PERSON"
"""Lindsey, Crockett"",PERSON"
"""Lipscombe, John"",PERSON"
"""Littlejohn, Janet"",PERSON"
"""Long, Glynn"",PERSON"
"""Lopez, Alma L."",PERSON"
"""Lowe, Bruce"",PERSON"
"""Loyd, Donna"",PERSON"
"""Lozano, Robert R."",PERSON"
"""Luitjen, Mark"",PERSON"
"""Lunn, Robert"",PERSON"
"""Maag, Gordon"",PERSON"
"""Mackoul, Walter Ernest"",PERSON"
"""Maher, Cathie B."",PERSON"
"""Maher, Richard M."",PERSON"
"""Malaga, Robert S."",PERSON"
"""Malmstadt, Mike"",PERSON"
"""Malone, Tom"",PERSON"
"""Manian, Victor"",PERSON"
"""Manion, Paul"",PERSON"
"""Manoukian, Noel"",PERSON"
"""Marinelli, Raymond"",PERSON"
"""Marion, Sandee Bryan"",PERSON"
"""Markman, Stephen"",PERSON"
"""Marks, Patricia"",PERSON"
"""Markus, Richard M."",PERSON"
"""Martinez, Mercurio"",PERSON"
"""Mason, Scott"",PERSON"
"""Matia, Paul Ramon"",PERSON"
"""Maupin, Bill"",PERSON"
"""Mauzy, Oscar Holcombe"",PERSON"
"""Maye, Vivian"",PERSON"
"""McAllister, Gordon"",PERSON"
"""McAnulty, Bill"",PERSON"
"""McCaffery, Seamus"",PERSON"
"""McCallum, Linda"",PERSON"
"""McCauli, W. Gregg"",PERSON"
"""McConnell, Addison Mitchell, Jr. (Mitch)"",PERSON"
"""McCormac, John W."",PERSON"
"""McCoy, Carol Louise"",PERSON"
"""McCune, Jim"",PERSON"
"""McCuskey, John"",PERSON"
"""McDonald, Frederick H. (Fred)"",PERSON"
"""McEnulty, Ron R."",PERSON"
"""McFaul, Kevin T."",PERSON"
"""McFerrin, Edward H."",PERSON"
"""McGinty, Timothy"",PERSON"
"""McIlwrath, Rolleen"",PERSON"
"""McManus, Don"",PERSON"
"""McMonagle, Richard J."",PERSON"
"""McNamara-McGraw, Larraine"",PERSON"
"""Melvin, Joan Orie"",PERSON"
"""Mendoza, John"",PERSON"
"""Mery, Bruce"",PERSON"
"""Meyer, Thomas"",PERSON"
"""Michael, Robert (Bo)"",PERSON"
"""Miller, Amon"",PERSON"
"""Miller, Norma"",PERSON"
"""Miller, Stanley A."",PERSON"
"""Minarich, Ed"",PERSON"
"""Mireles, Andy"",PERSON"
"""Mitchell, J. Oscar"",PERSON"
"""Moe, Royce"",PERSON"
"""Moloney, Deborah"",PERSON"
"""Monnet, Melinda"",PERSON"
"""Montaluo, Frank"",PERSON"
"""Montalvo, Frank"",PERSON"
"""Montiel, Mark"",PERSON"
"""Moody, Blair, Jr."",PERSON"
"""Moore, Warfield, Jr."",PERSON"
"""Moran, Emmett"",PERSON"
"""Morrissey, Linda"",PERSON"
"""Morvant, Bill"",PERSON"
"""Morvant, William"",PERSON"
"""Moser, William R."",PERSON"
"""Moss, Allen"",PERSON"
"""Mott, Thomas J."",PERSON"
"""Mountain, Barbara"",PERSON"
"""Moyer, Thomas J."",PERSON"
"""Mueller, Karen Pepper"",PERSON"
"""Murray, Walter"",PERSON"
"""Myerscough, Sue"",PERSON"
"""Myse, Gordon"",PERSON"
"""Nachwalter, George M."",PERSON"
"""Nahra, Joseph J."",PERSON"
"""Nance, Edward"",PERSON"
"""Neal, Earl Ray"",PERSON"
"""Neff, Janet"",PERSON"
"""Neilson, Claud D."",PERSON"
"""Newman, Sandra Schultz"",PERSON"
"""Nicholson, James C."",PERSON"
"""Norwood, Jeff"",PERSON"
"""Ober, Jay"",PERSON"
"""Ochoa, Frank"",PERSON"
"""O'Conner, Jeff"",PERSON"
"""O'Connor, Maureen"",PERSON"
"""O'Connor, Tom"",PERSON"
"""O'Donnell, Terrence"",PERSON"
"""O'Fiel, Hugh Edwin"",PERSON"
"""O'Hara, Jeri"",PERSON"
"""Ohrenschall, Eugenia"",PERSON"
"""Parrott, Alice Oliver"",PERSON"
"""O'Reilly, Bill"",PERSON"
"""Ortique, Revius"",PERSON"
"""Osowik, Tom"",PERSON"
"""Owen, Priscilla Richman"",PERSON"
"""Owens, Dan"",PERSON"
"""Paine, Ted"",PERSON"
"""Painter, Mark"",PERSON"
"""Parker, Sarah Elizabeth"",PERSON"
"""Parr, Jack Ramsey"",PERSON"
"""Parraguirre, Ron"",PERSON"
"""Parrish, Clarence R."",PERSON"
"""Paseur, Deborah Bell"",PERSON"
"""Patton, John"",PERSON"
"""Patton, Nan"",PERSON"
"""Pazos, Carlos"",PERSON"
"""Peden, Michael"",PERSON"
"""Peeples, David"",PERSON"
"""Pemberton, Bob"",PERSON"
"""Pena, Frank"",PERSON"
"""Pendell, George"",PERSON"
"""Penetar, Daniel Lawrence"",PERSON"
"""Perkins, Clayton Mack"",PERSON"
"""Perrecone, Frank"",PERSON"
"""Perrilloux, Scott"",PERSON"
"""Perry, Dan"",PERSON"
"""Petree, William Charles"",PERSON"
"""Peytavin, John"",PERSON"
"""Pezze, Debra"",PERSON"
"""Pfeifer, Paul Edward"",PERSON"
"""Phillips, Thomas R. (Tom)"",PERSON"
"""Phillips, Vel R."",PERSON"
"""Pickett, Elizabeth"",PERSON"
"""Pietropaoli, Patrick"",PERSON"
"""Pietrykowski, Mark"",PERSON"
"""Pina, Joe"",PERSON"
"""Pines, Spero"",PERSON"
"""Pokorny, Thomas"",PERSON"
"""Popeo, Jerry"",PERSON"
"""Powers, Jim"",PERSON"
"""Price, David"",PERSON"
"""Prillaman, Terry"",PERSON"
"""Primm, Arthur"",PERSON"
"""Puryear, David"",PERSON"
"""Ramirez, Juan"",PERSON"
"""Ramon, Ray"",PERSON"
"""Randa, Rudolph T."",PERSON"
"""Rangos, Jill"",PERSON"
"""Rankin, Mike"",PERSON"
"""Rausch, Jim"",PERSON"
"""Redmon, Gary"",PERSON"
"""Reed, Bonnie"",PERSON"
"""Reed, Morris"",PERSON"
"""Reese, Gene"",PERSON"
"""Regnier, Jim"",PERSON"
"""Resnick, Alice Robie"",PERSON"
"""Reynoso, Cruz"",PERSON"
"""Rice, James"",PERSON"
"""Rice, Sean J."",PERSON"
"""Richard, Jim"",PERSON"
"""Richardson, Bert"",PERSON"
"""Ricks, Carolyn R."",PERSON"
"""Riley, Dorothy Comstock"",PERSON"
"""Rivera, Raul"",PERSON"
"""Robb, Dean"",PERSON"
"""Robertson, Ted Z."",PERSON"
"""Robertson, Vicki"",PERSON"
"""Robinson, Jim"",PERSON"
"""Robrahn, Reese"",PERSON"
"""Rodriguez, Josedro R. (Jose)"",PERSON"
"""Rodriguez, Ricardo"",PERSON"
"""Roggensack, Pat"",PERSON"
"""Roman, Mary"",PERSON"
"""Roper, R. I."",PERSON"
"""Rose, Bob"",PERSON"
"""Rose, Robert Edgar"",PERSON"
"""Rosenbloom, Richard D."",PERSON"
"""Ross, Alan"",PERSON"
"""Rost, Tom"",PERSON"
"""Rowland, Jim"",PERSON"
"""Rozas, Scotty"",PERSON"
"""Ruben, Betty Willis"",PERSON"
"""Rush, Robert"",PERSON"
"""Russell, Robert (B.J.)"",PERSON"
"""Rustin, William"",PERSON"
"""Ruth, Kristin"",PERSON"
"""Ryan, David J."",PERSON"
"""Ryan, George T."",PERSON"
"""Sacco, Joel"",PERSON"
"""Sadler, Lisa"",PERSON"
"""Sakai, Peter"",PERSON"
"""Santry, Shelley"",PERSON"
"""Sassone, Martha"",PERSON"
"""Sawyer, David"",PERSON"
"""Schaefer, Lynn"",PERSON"
"""Schmehl, Jeff"",PERSON"
"""Schmollinger, Mark"",PERSON"
"""Schneider, Tom"",PERSON"
"""Schroering, Jackie"",PERSON"
"""Schwartzer, Gerri"",PERSON"
"""Scudder, Henry"",PERSON"
"""Sears, Ross A."",PERSON"
"""See, Harold"",PERSON"
"""Seeliger, Clarence Fenton"",PERSON"
"""Seitz, Dennis J."",PERSON"
"""Selinger, Larry"",PERSON"
"""Sepe, Alfonso C."",PERSON"
"""Seraphim, Christ T."",PERSON"
"""Sewell, Bruce"",PERSON"
"""Shake, Jim"",PERSON"
"""Shallcross, Deborah"",PERSON"
"""Shamo, John"",PERSON"
"""Shaw, Gregg"",PERSON"
"""Shelton, Don"",PERSON"
"""Sherman, Lorraine H."",PERSON"
"""Sheward, Richard"",PERSON"
"""Shiffman, Stuart"",PERSON"
"""Shores, Janie"",PERSON"
"""Showengerdt, Mary"",PERSON"
"""Siefert, John"",PERSON"
"""Sikora, Peter M."",PERSON"
"""Silverman, Lawrence D."",PERSON"
"""Simon, Seymour"",PERSON"
"""Simpson, Samuel"",PERSON"
"""Sims, Benham"",PERSON"
"""Skinner, William L."",PERSON"
"""Smith, Craig"",PERSON"
"""Smith, Don"",PERSON"
"""Smith, H. L."",PERSON"
"""Smith, Thomas O.H., Jr. (Tom)"",PERSON"
"""Smith, Wendell"",PERSON"
"""Smitter, Henry"",PERSON"
"""Sogg, Linda Rocker"",PERSON"
"""Spears, Carleton"",PERSON"
"""Spears, Monroe"",PERSON"
"""Spellacy, Leo Michael"",PERSON"
"""Spencer, Polly Jackson"",PERSON"
"""St. Clair, Fred L."",PERSON"
"""Stacey, Michael Leigh"",PERSON"
"""Steinmetz, Donald W."",PERSON"
"""Stempien, Jeanne"",PERSON"
"""Stensaas, Sandra"",PERSON"
"""Stokes, Angela"",PERSON"
"""Stone, Catherine"",PERSON"
"""Stormer, Elinore Marsh"",PERSON"
"""Strassburger, Gene"",PERSON"
"""Stratton, Evelyn"",PERSON"
"""Street, John F."",PERSON"
"""Stroup, Nathaniel"",PERSON"
"""Sueyres, Clark"",PERSON"
"""Sutton, Robert E. L.  (Bob)"",PERSON"
"""Sweeney, Francis"",PERSON"
"""Sweeney, Asher William"",PERSON"
"""Swinton, Barbara"",PERSON"
"""Swisher, Kathryn M."",PERSON"
"""Swope, Derek"",PERSON"
"""Takas, Steve"",PERSON"
"""Talbot, Michael"",PERSON"
"""Tanner, Martha"",PERSON"
"""Tarnow, Arthur J."",PERSON"
"""Taylor, Clifford (Cliff)"",PERSON"
"""Temple, Beverly"",PERSON"
"""Terry, Jerry O."",PERSON"
"""Tertzag, Kaye"",PERSON"
"""Tervelan, Harry"",PERSON"
"""Theis, Charles"",PERSON"
"""Thiel, Denise Snyder"",PERSON"
"""Thode, Thomas"",PERSON"
"""Thomas, Herman"",PERSON"
"""Thomas, James"",PERSON"
"""Thomas, Patsy"",PERSON"
"""Thomas, Randall"",PERSON"
"""Thompson, Charles"",PERSON"
"""Thorburn, James S."",PERSON"
"""Thorsen, Brad (Bradley)"",PERSON"
"""Tilton, unknown"",PERSON"
"""Touchy, Hugo"",PERSON"
"""Townsend, Gregory John"",PERSON"
"""Townsend, Sharon"",PERSON"
"""Trail, Larry"",PERSON"
"""Travers, F. Warren"",PERSON"
"""Trieweiler, Terry N."",PERSON"
"""Troutman, Shirley"",PERSON"
"""Tucker, Steve"",PERSON"
"""Turgeon, Jeannine"",PERSON"
"""Turnage, Jean"",PERSON"
"""Tweeten, Chris"",PERSON"
"""Tyack, Gary"",PERSON"
"""Tyner, Deborah G."",PERSON"
"""Van Hoomissen, George Albert"",PERSON"
"""Vance, Jimmy"",PERSON"
"""Varley, Nancy"",PERSON"
"""Vaughan, Ray"",PERSON"
"""Villanti, Craig"",PERSON"
"""Villanueva, Jose"",PERSON"
"""Villines, Buddy"",PERSON"
"""Vlahos, Kosta"",PERSON"
"Pro-Vote for Sitting Judges,PERSON"
"""Wagner, Ben"",PERSON"
"""Wagner, Jeff"",PERSON"
"""Wainwright, Dale"",PERSON"
"""Walker, Beth"",PERSON"
"""Walker, Ronnie"",PERSON"
"""Wall, Don"",PERSON"
"""Wallace, Sam"",PERSON"
"""Walsh, Tom"",PERSON"
"""Walson, Jeff"",PERSON"
"""Walters, Jesse"",PERSON"
"""Waltzer, Miriam"",PERSON"
"""Warden, John"",PERSON"
"""Watkins, David"",PERSON"
"""Weatherly, Jim"",PERSON"
"""Weaver, Clark"",PERSON"
"""Weaver, Elizabeth A."",PERSON"
"""Webb, Linde"",PERSON"
"""Wedemeyer, Ted E., Jr."",PERSON"
"""Weller, Bob"",PERSON"
"""Wells, John B."",PERSON"
"""Wells, Lesley Brooks"",PERSON"
"""Wessler, Billy"",PERSON"
"""White, Helene N."",PERSON"
"""Whitfield, John"",PERSON"
"""Wietzel, Raymond A."",PERSON"
"""Wiggins, David"",PERSON"
"""Wilkinson, Neal"",PERSON"
"""Williams, G. Mennen"",PERSON"
"""Wilson, Alma"",PERSON"
"""Wilson, Donna"",PERSON"
"""Wilson, Ken"",PERSON"
"""Wittenberg, Charles"",PERSON"
"""Wood, Rhonda"",PERSON"
"""Woods, Joyce Ann"",PERSON"
"""Wright, Craig"",PERSON"
"""Yanez, Linda"",PERSON"
"""Yarbrough, Jim"",PERSON"
"""Yarbrough, Steve"",PERSON"
"""Yost, Eric"",PERSON"
"""Young, Cliff"",PERSON"
"""Young, Kevin G."",PERSON"
"""Zappa, Leo"",PERSON"
"""Zemmelman, Norm"",PERSON"
"""Zenoff, Kathryn"",PERSON"
"""Zwick, Morton"",PERSON"
"Alaskan Independence Pary,POLITICAL_PARTY"
"Alliance Party,POLITICAL_PARTY"
"American Independent Party,POLITICAL_PARTY"
"Christian Democratic Union,POLITICAL_PARTY"
"Christian Pro-Life Party,POLITICAL_PARTY"
"Citizens Party,POLITICAL_PARTY"
"Communist Party,POLITICAL_PARTY"
"Concerned Citizens Party,POLITICAL_PARTY"
"Conservative,POLITICAL_PARTY"
"Conservative Party of Delaware,POLITICAL_PARTY"
"Conservative Party of New York State,POLITICAL_PARTY"
"Constitution Party,POLITICAL_PARTY"
"Democratic,POLITICAL_PARTY"
"Democratic Socialists of America,POLITICAL_PARTY"
"Grassroots Party,POLITICAL_PARTY"
"Green Party,POLITICAL_PARTY"
"Green Party of Alaska,POLITICAL_PARTY"
"Green Party of Rhode Island,POLITICAL_PARTY"
"Independence Party of Minnesota,POLITICAL_PARTY"
"Independent,POLITICAL_PARTY"
"Independent Party of Delaware,POLITICAL_PARTY"
"Independent Party of Oregon,POLITICAL_PARTY"
"Labor Party,POLITICAL_PARTY"
"Liberal Party,POLITICAL_PARTY"
"Liberal Party of Delaware,POLITICAL_PARTY"
"Libertarian,POLITICAL_PARTY"
"National Socialist Movement,POLITICAL_PARTY"
"Natural Law,POLITICAL_PARTY"
"Patriot Party,POLITICAL_PARTY"
"People?s Party of Florida,POLITICAL_PARTY"
"Progressive,POLITICAL_PARTY"
"Progressive Labor Party,POLITICAL_PARTY"
"Reform Party,POLITICAL_PARTY"
"Republican,POLITICAL_PARTY"
"Socialist Party,POLITICAL_PARTY"
"United Citizens Party,POLITICAL_PARTY"
"Vermont Progressive Party,POLITICAL_PARTY"
"Working Families Party,POLITICAL_PARTY"
"60 Plus Association,ORGANIZATION_AGENCY"
"Adrian Smith for Congress,ORGANIZATION_AGENCY"
"AFL-CIO (American Federation of Labor and Congress of Industrial Organizations),ORGANIZATION_AGENCY"
"""AFSCME People (American Federation of State, County and Municipal Employees)"",ORGANIZATION_AGENCY"
"Alabama Democratic Party,ORGANIZATION_AGENCY"
"Alabama Republic Executive Committee,ORGANIZATION_AGENCY"
"Alaska Republican Party,ORGANIZATION_AGENCY"
"Alaskans Standing Together,ORGANIZATION_AGENCY"
"Alex Sink For Congress,ORGANIZATION_AGENCY"
"Alliance For A Better Minnesota,ORGANIZATION_AGENCY"
"Alliance For Quality Nursing Home Care,ORGANIZATION_AGENCY"
"American Action Network Inc.,ORGANIZATION_AGENCY"
"American Chemistry Council,ORGANIZATION_AGENCY"
"American Commitment,ORGANIZATION_AGENCY"
"American Conservative Union,ORGANIZATION_AGENCY"
"American Crossroads,ORGANIZATION_AGENCY"
"American Family Voices and Public Campaign Action Fund,ORGANIZATION_AGENCY"
"""American Federation of State, County and Municipal Employees"",ORGANIZATION_AGENCY"
"American Future Fund,ORGANIZATION_AGENCY"
"American Health Care Association,ORGANIZATION_AGENCY"
"American Medical Association Political Action Committee (AMPAC),ORGANIZATION_AGENCY"
"American Principles Fund,ORGANIZATION_AGENCY"
"American Tax Reform Foundation,ORGANIZATION_AGENCY"
"American Taxpayers Alliance,ORGANIZATION_AGENCY"
"American Values PAC,ORGANIZATION_AGENCY"
"Americans Against D.C. Statehood,ORGANIZATION_AGENCY"
"Americans for Conservation,ORGANIZATION_AGENCY"
"Americans For Job Security,ORGANIZATION_AGENCY"
"Americans for Limited Terms,ORGANIZATION_AGENCY"
"Americans for Prosperity,ORGANIZATION_AGENCY"
"Americans for Prosperity-Florida,ORGANIZATION_AGENCY"
"Americans for Tax Reform Education,ORGANIZATION_AGENCY"
"Americans For Tax Reform Foundation,ORGANIZATION_AGENCY"
"Americans United For Change,ORGANIZATION_AGENCY"
"Americans United to Preserve Marriage,ORGANIZATION_AGENCY"
"America's Agenda: Health Care For Kids,ORGANIZATION_AGENCY"
"Amodei for Nevada,ORGANIZATION_AGENCY"
"AMPAC,ORGANIZATION_AGENCY"
"Andy Barr for Congress,ORGANIZATION_AGENCY"
"Angus King for U.S. Senate Campaign,ORGANIZATION_AGENCY"
"Ann  Church,ORGANIZATION_AGENCY"
"Anthony Troiani for U.S. Congress Campaign Committee,ORGANIZATION_AGENCY"
"Anti Democratic Party,ORGANIZATION_AGENCY"
"Anti-Abortion,ORGANIZATION_AGENCY"
"Anti-Mark Udall,ORGANIZATION_AGENCY"
"Arizona Democratic Party,ORGANIZATION_AGENCY"
"Arizona Republican Party,ORGANIZATION_AGENCY"
"Arkansas Democratic Party,ORGANIZATION_AGENCY"
"Arkansas Republican Party,ORGANIZATION_AGENCY"
"Associated Builders & Contractors,ORGANIZATION_AGENCY"
"Associated Builders and Contractors PAC,ORGANIZATION_AGENCY"
"Association of Trial Lawyers of America PAC,ORGANIZATION_AGENCY"
"Auto Dealers and Drivers Free Trade PAC,ORGANIZATION_AGENCY"
"Avalos for Congress,ORGANIZATION_AGENCY"
"Bachus for Congress,ORGANIZATION_AGENCY"
"BaileyForLife2000,ORGANIZATION_AGENCY"
"Barr for Congress,ORGANIZATION_AGENCY"
"Barrett For Representative,ORGANIZATION_AGENCY"
"Beatty for Congress,ORGANIZATION_AGENCY"
"Beckum for Senate,ORGANIZATION_AGENCY"
"Berg for North Dakota,ORGANIZATION_AGENCY"
"Beto for Congress,ORGANIZATION_AGENCY"
"Betty Sutton for Congress,ORGANIZATION_AGENCY"
"Bill Fletcher,ORGANIZATION_AGENCY"
"Bill Hafner for Congress,ORGANIZATION_AGENCY"
"Bivens for Senate,ORGANIZATION_AGENCY"
"Bliss 2012,ORGANIZATION_AGENCY"
"Blue America PAC,ORGANIZATION_AGENCY"
"Blumenauer for Congress,ORGANIZATION_AGENCY"
"Bob Casey for U.S Senate,ORGANIZATION_AGENCY"
"Bob Johnson for Congress,ORGANIZATION_AGENCY"
"Bonamici for Congress,ORGANIZATION_AGENCY"
"Boy Scouts of America,ORGANIZATION_AGENCY"
"Branko Radulovacki for U.S. Senate,ORGANIZATION_AGENCY"
"Brett Guthrie for Congress,ORGANIZATION_AGENCY"
"Bruning for Attorney General,ORGANIZATION_AGENCY"
"""Bruning for Senate, Inc."",ORGANIZATION_AGENCY"
"Bucshon for Congress,ORGANIZATION_AGENCY"
"Buddy Carter for Congress,ORGANIZATION_AGENCY"
"Business Roundtable,ORGANIZATION_AGENCY"
"California Democratic Party,ORGANIZATION_AGENCY"
"California Justice Committee,ORGANIZATION_AGENCY"
"California Peace Action,ORGANIZATION_AGENCY"
"California Republican Party,ORGANIZATION_AGENCY"
"Camden County Democratic Committee,ORGANIZATION_AGENCY"
"Campaign for a Progressive Future,ORGANIZATION_AGENCY"
"Campaign for America,ORGANIZATION_AGENCY"
"Campaign for America's Future,ORGANIZATION_AGENCY"
"Campaign for Working Families,ORGANIZATION_AGENCY"
"Campaign Money Watch,ORGANIZATION_AGENCY"
"Campaign to Defend America,ORGANIZATION_AGENCY"
"Cardin for US Senate,ORGANIZATION_AGENCY"
"Case for Hawaii,ORGANIZATION_AGENCY"
"Celeste for Congress,ORGANIZATION_AGENCY"
"Change America Now,ORGANIZATION_AGENCY"
"Charlton McIlwain/Caliendo Research,ORGANIZATION_AGENCY"
"Cheney for Wyoming,ORGANIZATION_AGENCY"
"Chip for Congress,ORGANIZATION_AGENCY"
"Christian Action Network,ORGANIZATION_AGENCY"
"Citizens Action,ORGANIZATION_AGENCY"
"Citizens Club for growth PAC,ORGANIZATION_AGENCY"
"""Citizens Flag Alliance, Inc."",ORGANIZATION_AGENCY"
"Citizens For A Better America,ORGANIZATION_AGENCY"
"Citizens for a Strong Senate,ORGANIZATION_AGENCY"
"Citizens for Altmire,ORGANIZATION_AGENCY"
"Citizens For Better Medicare,ORGANIZATION_AGENCY"
"Citizens for common sense in Nat' defense,ORGANIZATION_AGENCY"
"Citizens for Culver,ORGANIZATION_AGENCY"
"Citizens for Effective County Government,ORGANIZATION_AGENCY"
"Citizens for Josh Mandel,ORGANIZATION_AGENCY"
"Citizens for Reform,ORGANIZATION_AGENCY"
"Citizens for Republic Education Fund,ORGANIZATION_AGENCY"
"Citizens For Responsible Government in Illinois,ORGANIZATION_AGENCY"
"Citizens for Strength and Security,ORGANIZATION_AGENCY"
"Citizens for the Republican Education Fund,ORGANIZATION_AGENCY"
"Citizens for Tilton for County Court,ORGANIZATION_AGENCY"
"Citizens for Zwick,ORGANIZATION_AGENCY"
"Citizens Opposing Racism and Discrimination,ORGANIZATION_AGENCY"
"Citizens to Cut & Cap Your Property Taxes,ORGANIZATION_AGENCY"
"Closson for Congress,ORGANIZATION_AGENCY"
"Club For Growth,ORGANIZATION_AGENCY"
"Club for Growth Action,ORGANIZATION_AGENCY"
"Club for Growth PAC,ORGANIZATION_AGENCY"
